Name,ISIN,Coupon Rate,Issue Date,Maturity Date,Date,Close,Dirty
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/6,99.64,100.015
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/7,99.63,100.005
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/8,99.63,100.005
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/9,99.63,100.005
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/10,99.64,100.015
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/13,99.64,100.015
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/14,99.64,100.015
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/15,99.66,100.035
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/16,99.67,100.045
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/17,99.7,100.075
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/6,100,100.75
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/7,99.98,100.73
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/8,99.98,100.73
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/9,99.99,100.74
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/10,99.91,100.66
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/13,99.88,100.63
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/14,99.86,100.61
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/15,99.91,100.66
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/16,100,100.75
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/17,100.01,100.76
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/6,98.15,98.275
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/7,98.13,98.255
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/8,98.15,98.275
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/9,98.15,98.275
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/10,97.99,98.115
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/13,97.92,98.045
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/14,97.86,97.985
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/15,97.97,98.095
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/16,98.11,98.235
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/17,98.17,98.295
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/6,97.01,97.34333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/7,96.99,97.32333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/8,97,97.33333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/9,97.03,97.36333333
